; Vice City Stories PC Edition Handling
; Extracted and ported to PC by guard3
; Tweaks by guard3 and Noskillx
;
; name       mass     turnmass  drag   centreofmass  boy traction           transmission            brakes       steer  suspension       suslines        antidive   seat col  cost      mflags      hflags      lights
;	A		B		C		D		F	G		H		I	J		K		L		M	N		O		P		Q	R	S		T		U	V	a		b		c	d		e		f		g		aa		ab		ac		af			ag			ah	ai	aj
6ATV		2000	4056.4	2.2		0	-0.3	-0.75	35	0.8		0.75	0.45	4	90		19		30		4	D	9.1		0.6		0	35	1.6		0.4		0	0.19	-0.09	0.54	1		0.5		0.51	20000	5300		e00006		0	1	0
ADMIRAL		1450	4056.4	2.2		0	0.3		-0.25	75	0.8		0.75	0.45	5	180		19		10		F	P	9.1		0.6		0	35	1.4		0.1		0	0.25	-0.15	0.54	0		0.2		0.51	20000	0			400002		0	1	0
CHEETAH		1400	3000	2		0	0		-0.2	70	0.75	0.89	0.5		5	200		33		10		R	P	8		0.52	0	34	1.6		0.1		0	0.3		-0.15	0.5		0.3		0.15	0.49	45000	2804		3			1	1	1
AUTOGYRO	5000	29270.8	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	1.5		0.75	0	0.5		-0.2	0.35	1		0.2		0.75	45000	42004300	400000		0	1	0
BAGGAGE		1000	1354.2	4		0	0		-0.2	70	0.55	1.4		0.5		3	70		37.5	30		R	E	13.1	0		0	40	1		0.4		0	0.15	-0.12	0.5		0		0.2		0.51	20000	4300		400002		0	1	0
BANSHEE		1400	3000	2		0	0		-0.2	70	0.8		0.81	0.49	5	200		33		10		R	P	8		0.52	0	34	1.6		0.1		0	0.3		-0.15	0.5		0.3		0.15	0.49	45000	2004		3			1	1	1
PEREN		1200	3000	2.5		0	0.1		-0.1	70	0.7		0.9		0.48	5	150		18		20		F	P	4		0.8		0	30	1.4		0.1		0	0.37	-0.12	0.5		0		0.2		0.6		10000	20			2			1	1	0
BLISTAC		2200	6500	2.6		0	0.2		-0.1	75	0.6		0.8		0.5		5	200		20		15		R	P	5.5		0.6		0	30	1.1		0.1		0	0.28	-0.2	0.5		0.3		0.25	0.6		35000	0			0			1	1	0
BMXBOY		500		161.7	4		0	0.05	-0.09	103	1.6		0.9		0.48	5	59.2	50		5		R	P	15		0.5		0	35	1.05	0.4		0	0.1		-0.01	0.7		0		0		0.15	10000	1002000		2			1	1	9
BMXGIRL		500		161.7	4		0	0.05	-0.09	103	1.6		0.9		0.48	5	59.2	50		5		R	P	15		0.5		0	35	1.05	0.4		0	0.1		-0.01	0.7		0		0		0.15	10000	1002920		10504200	1	1	9
BOBCAT		1700	4000	2.5		0	0		0		75	0.8		0.55	0.57	5	165		20		15		4	D	8.5		0.5		0	35	1.5		0.1		0	0.35	-0.18	0.4		0		0.26	0.2		26000	40			4006		0	1	0
BULLDOZE	11315.5	20677.5	10.8	0	0		-1.5	90	0.95	2.79	0.4		4	60.4	25		30		4	D	8		0.3		0	12	1.6		0.2		0	0.4		-0.2	0.5		0		0.65	0.25	43500	4208		1020330c	0	1	0
BURRITO		2000	4901.7	2.4		0	0.4		-0.2	85	0.6		0.75	0.45	5	160		18		15		F	P	5.5		0.45	0	30	1.4		0.05	0	0.43	-0.11	0.5		0		0.2		0.6		26000	1			2			0	1	0
CABBIE		1750	4351.7	2.9		0	0.2		-0.25	75	0.8		0.81	0.48	4	160		24		6		R	P	7		0.44	0	40	1		0.08	0	0.25	-0.15	0.5		0.5		0.2		0.4		10000	0			2			1	1	0
GOLFCART	1000	1354.2	4		0	0		-0.2	70	0.55	1.4		0.5		3	70		37.5	30		R	E	13.1	0		0	40	1		0.4		0	0.15	-0.12	0.5		0		0.2		0.51	20000	100			400002		0	1	0
SPEEDER2	2200	20210.7	1		0	-0.1	0		25	3.5		15		0.55	5	400		7.5		12.3	R	P	0.04	0.01	0	24	1		3		0	0.1		0.5		0		0		0.3		0.39	70000	8000410		3			0	1	0
PIMP		1700	4000	2.5		0	0		0		75	0.8		0.55	0.57	5	165		25		15		4	P	8.5		0.5		0	35	1.5		0.1		0	0.35	-0.18	0.4		0		0.26	0.2		26000	2040		4006		0	1	0
DELUXO		1600	4500	2		0	0		-0.12	75	0.85	0.85	0.5		5	200		25		10		R	P	10		0.53	0	35	1.2		0.12	0	0.28	-0.12	0.5		0		0.2		0.24	25000	2004		10400002	0	1	1
HUEY		5000	29270.8	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.15	0	0.5		0.1		0.5		0		0.3		0.75	45000	42000000	0			0	1	0
ELECTRAP	800		403.3	4		0	0.1		0		103	1.2		0.82	0.51	4	190		40		5		R	P	10		0.55	0	35	0.65	0.2		0	0.09	-0.11	0.55	0		0		0.24	10000	1002000		3			1	1	8
ELECTRAG	800		403.3	4		0	0.1		0		103	1.2		0.82	0.51	4	190		40		5		R	P	10		0.55	0	35	0.65	0.2		0	0.09	-0.11	0.55	0		0		0.24	10000	1002000		3			1	1	8
ESPERANT	1800	4350	2		0	0		0		70	0.55	0.88	0.52	5	160		18		5		R	P	4		0.6		0	28	1		0.05	0	0.35	-0.18	0.5		0		0.36	0.54	19000	0			1			0	3	0
FBICAR		1800.7	4500	2		0	0		-0.22	75	0.71	0.85	0.5		5	200		25		10		R	P	10		0.53	0	35	1		0.1		0	0.28	-0.15	0.5		0		0.2		0.24	25000	2000		10400002	0	1	0
FIRETRUK	10000	36670.8	3		0	0		0		90	0.55	0.8		0.5		5	170		27		10		R	D	10		0.45	0	27	1.2		0.08	0	0.47	-0.17	0.5		0		0.2		0.26	15000	98			3300		0	1	0
GLENDALE	1600	4500	2		0	0		-0.12	75	0.85	0.85	0.5		5	200		25		10		R	P	10		0.53	0	35	1.2		0.12	0	0.28	-0.12	0.5		0		0.2		0.24	25000	0			10400002	0	1	0
GREENWOO	1600	4500	2		0	0		-0.12	75	0.85	0.85	0.5		5	200		25		10		R	P	10		0.53	0	35	1.2		0.12	0	0.28	-0.12	0.5		0		0.2		0.24	25000	0			10400002	0	1	0
HERMES		1700	4000	2.5		0	0		-0.3	75	0.8		0.8		0.41	5	105		20		15		4	D	8.5		0.5		0	35	1.5		0.1		0	0.35	-0.18	0.4		0		0.26	0.2		10000	2000		10000000	0	1	0
HOVER		1900	4795.9	20		0	0		0.2		85	0.05	1		0.5		5	150		2		5		R	P	1		0.5		0	30	0.5		0.05	0	0.33	-0.25	0.5		0.02	0.65	0.5		26000	4004301		600040		0	1	0
IDAHO		1600	4000	2.5		0	0		-0.1	70	0.7		0.8		0.52	4	160		20		20		R	P	5.4		0.6		0	30	1.1		0.12	0	0.36	-0.15	0.5		0		0.22	0.54	19000	0			30000002	0	0	0
LANDSTAL	2000	5500	2.5		0	0		-0.35	85	0.7		0.85	0.5		5	160		20		10		4	D	7		0.45	0	35	1.6		0.08	0	0.28	-0.25	0.5		0.25	0.27	0.23	25000	28			400003		0	1	0
MANANA		1450	4056.4	2.2		0	0.3		-0.25	75	0.8		0.75	0.45	5	180		19		10		F	P	9.1		0.6		0	35	1.4		0.1		0	0.25	-0.15	0.54	0		0.2		0.51	9000	0			2			0	1	0
MOPED		350		119.6	5		0	0.05	-0.1	103	1.8		0.9		0.48	3	190		30		5		R	P	14		0.5		0	35	1		0.15	0	0.12	-0.17	0.5		0		0		0.11	10000	1000000		3			1	1	5
OCEANIC		1700	4000	2.5		0	0		-0.3	75	0.8		0.8		0.41	5	90		20		15		4	D	8.5		0.5		0	35	1.5		0.1		0	0.35	-0.18	0.4		0		0.26	0.2		9000	0			2			0	1	0
DIRTBIKE	500		195		5		0	0.05	-0.09	103	1.6		0.9		0.48	5	185		50		5		R	P	14		0.5		0	35	0.85	0.15	0	0.15	-0.16	0.5		0		0		0.15	10000	1000000		3			1	1	7
STALLION	1600	3921.3	2		0	0.2		-0.3	70	0.8		0.75	0.5		4	160		23		5		R	P	8.17	0.52	0	35	1.2		0.1		0	0.3		-0.2	0.5		0		0.3		0.64	19000	2000		5			1	1	0
POLICEM		1750	4351.7	2.9		0	0.1		-0.15	75	0.75	0.85	0.51	4	160		24		6		R	P	7		0.44	0	40	0.7		0.06	0	0.2		-0.2	0.5		0.5		0.2		0.4		10000	0			2			1	1	0
BOBO		1450	4056.4	2.2		0	0		-0.25	75	0.8		1.69	0.45	1	24.5	19		10		4	E	9.1		0.6		0	35	2.1		0.4		0	0.25	-0.15	0.5		1		0.2		0.8		20000	300			1040331f	0	1	0
PATRIOT		2500	7968.7	2.5		0	0.1		-0.3	80	0.7		0.85	0.5		5	170		25		20		4	P	8		0.5		0	30	1.5		0.08	0	0.35	-0.35	0.5		0		0.28	0.25	40000	2008		3			0	1	0
PONY		2600	8666.7	3		0	0		-0.3	80	0.55	0.9		0.5		5	160		15		25		R	D	6		0.8		0	30	2.2		0.12	0	0.35	-0.15	0.25	0		0.2		0.5		20000	1			2			0	3	0
SENTINEL	1600	4000	2.2		0	0		-0.2	75	0.65	0.75	0.48	5	165		24		10		R	P	10		0.5		0	27	1		0.08	0	0.3		-0.2	0.5		0.3		0.2		0.56	35000	2000		400002		0	1	0
BIKE		500		161.7	4		0	0.05	-0.09	103	1.6		0.9		0.48	5	190		50		5		R	P	15		0.5		0	35	0.85	0.15	0	0.15	-0.16	0.5		0		0		0.15	10000	1002000		2			1	1	4
MAVERICK	5000	29270.8	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.15	0	0.5		0.1		0.5		0		0.3		0.75	45000	42000000	400000		0	1	0
REEFER		5000	25520.8	1		0	0		0		10	4.5		20		0.45	5	61.1	0.7		5		R	P	0.02	0.02	0	13	0.8		3		0	0.1		0.1		0		0		0.2		0.38	25000	8000010		0			0	1	0
SPEEDER		2200	20210.7	1		0	-0.1	0		25	3.5		15		0.55	5	200		2.5		12.3	R	P	0.04	0.01	0	24	1		3		0	0.1		0.5		0		0		0.3		0.39	70000	8000410		3			0	1	0
LINERUN		3800	19953.2	5		0	0		-0.2	90	0.95	0.65	0.4		5	120		25		30		R	D	8		0.3		0	25	1.6		0.06	0	0.4		-0.2	0.5		0		0.65	0.25	35000	2000		3300		0	1	0
WALTON		1700	4000	2.5		0	0		-0.3	75	0.8		0.8		0.41	5	165		20		15		4	D	8.5		0.5		0	35	1.5		0.1		0	0.35	-0.18	0.4		0		0.26	0.2		26000	40			4006		0	1	0
BARRACKS	10500	61407.5	4		0	0		0		90	0.65	0.7		0.47	5	180		20		25		4	D	4		0.4		0	27	1.2		0.05	0	0.47	-0.17	0.5		0		0.62	0.26	10000	809			330a		0	1	0
PREDATOR	2200	29333.3	1		0	0		0		10	2.3		38		0.45	5	190		1.7		5		R	P	0.05	0.01	0	24	1		3		0	0.1		0.1		0		0		0.2		0.33	40000	8000010		0			0	1	0
FLATBED		8500	48804.2	2.5		0	0		-0.2	90	0.7		0.7		0.46	5	140		25		80		R	D	10		0.45	0	27	1.2		0.05	0	0.47	-0.17	0.5		0		0.62	0.43	10000	0			400000		0	1	0
BIPLANE		2000	27083	12		0	0		0		120	0.83	18.85	0.5		2	200		2.5		5		4	P	2		0.005	0	45	0.9		0.17	0	0.25	-0.15	0.5		0		0.5		1		10000	4001308		400020		0	1	0
MOONBEAM	2000	5848.3	2.8		0	0.2		-0.3	85	0.6		0.8		0.5		5	150		15		15		R	D	5.5		0.6		0	30	1.4		0.1		0	0.35	-0.15	0.55	0		0.2		0.75	16000	20			2			1	3	0
RUMPO		2000	4901.7	2.4		0	0.4		-0.2	85	0.6		0.75	0.45	5	160		18		15		F	P	5.5		0.45	0	30	1.4		0.05	0	0.43	-0.11	0.5		0		0.2		0.6		26000	1			2			0	1	0
YOLA		2200	20210.7	1		0	-0.1	0		17	2.5		15		0.55	5	115.3	2.5		12.3	R	P	0.04	0.01	0	19	1		3		0	0.1		0.5		0		0		0.3		0.39	70000	8000010		3			0	1	0
TAXI		1450	4056.4	2.2		0	0.3		-0.25	75	0.8		0.75	0.45	5	180		19		10		F	P	9.1		0.6		0	35	1.4		0.1		0	0.25	-0.15	0.54	0		0.2		0.51	20000	0			400002		0	1	0
AMBULAN		2600	10202.8	2.5		0	0		-0.3	90	0.75	0.8		0.47	5	155		24		10		4	D	7		0.55	0	35	1		0.07	0	0.4		-0.2	0.5		0		0.58	0.33	10000	1			2206		0	1	0
STRETCH		2200	10000	1.8		0	0		-0.15	75	0.6		0.8		0.5		5	180		18		25		R	P	10		0.4		0	30	1.1		0.07	0	0.35	-0.2	0.5		0		0.2		0.72	40000	2000		400002		1	1	0
QUADBIKE	600		600		2		0	-0.1	-0.5	75	0.7		0.8		0.47	4	200		25		10		R	P	10		0.53	0	40	0.8		0.1		0	0.2		-0.15	0.5		1		0.01	0.2		8000	1002300		1020000f	0	1	12
ANGEL		800		410.3	3.6		0	0.1		0		103	1.2		0.82	0.51	4	188		55		5		R	P	10		0.55	0	35	0.65	0.2		0	0.09	-0.11	0.55	0		0		0.24	10000	1000000		3			1	1	6
FREEWAY		800		403.3	4		0	0.1		0		103	1.2		0.82	0.51	4	190		40		5		R	P	10		0.55	0	35	0.65	0.2		0	0.09	-0.11	0.55	0		0		0.24	10000	1000000		3			1	1	6
JETSKI		978.9	2000	0.1		0	0		0		17	1		0.1		0.15	1	194.2	3.2		17		R	P	10		0.02	0	40	0.2		3		0	0.1		0.1		0		0		0.2		0.38	25000	8004010		3			0	1	0
ENFORCER	2600	10202.8	2.5		0	0		-0.3	90	0.75	0.8		0.47	5	155		24		10		4	D	7		0.55	0	35	1		0.07	0	0.4		-0.2	0.5		0		0.58	0.33	10000	1			2206		0	1	0
BOXVILLE	2600	10202.8	2.5		0	0		-0.3	90	0.75	0.8		0.47	5	155		24		10		4	D	7		0.55	0	35	1		0.07	0	0.4		-0.2	0.5		0		0.58	0.33	10000	1			6			0	1	0
BENSON		2600	10202.8	2.5		0	0		-0.3	90	0.75	0.8		0.47	5	155		24		10		4	D	7		0.55	0	35	1		0.07	0	0.4		-0.2	0.5		0		0.58	0.33	10000	1			6			0	1	0
COACH		10300.3	57324.6	3.2		0	0		-0.3	90	0.65	0.85	0.35	5	160		18		20		R	D	5.7		0.35	0	30	1.5		0.04	0	0.45	-0.25	0.5		0		0.45	0.48	20000	2			400000		0	1	15
MULE		3500	14000	4		0	0		-0.1	80	0.55	0.85	0.46	5	140		18		20		R	D	4.5		0.6		0	30	2		0.07	0	0.3		-0.15	0.5		0		0.46	0.53	22000	88			2			0	3	0
VOODOO		1000	4745.3	0.1		0	0		-0.3	70	0.8		0.9		0.5		4	104.4	19		15		R	P	8		0.8		0	18	1.2		0.1		0	0.31	-0.15	0.5		0.2		0.26	0.5		9000	4			10000002	0	0	1
SECURICA	7000	28444.4	1.5		0	0		-0.2	90	0.5		0.7		0.46	5	170		15		30		R	D	8.4		0.45	0	40	1		0.06	0	0.35	-0.15	0.5		0		0.27	0.35	40000	1			2207		1	1	0
TRASH		10000	33187.9	5		0	-0.4	-0.35	90	0.6		0.9		0.5		4	110		20		30		R	D	3.5		0.4		0	30	1		0.06	0	0.45	-0.25	0.55	0.3		0.45	0.2		5000	8			1103		0	1	0
TOPFUN		2000	4901.7	2.4		0	0.4		-0.2	85	0.6		0.75	0.45	5	160		18		15		F	P	5.5		0.45	0	30	1.4		0.05	0	0.43	-0.11	0.5		0		0.2		0.6		26000	1			2			0	1	0
YANKEE		4500	18003.7	3		0	0		0		80	0.55	0.7		0.48	5	160		16		40		R	D	4.5		0.8		0	30	1.2		0.1		0	0.3		-0.25	0.5		0		0.35	0.45	22000	88			3			0	1	0
MRWHOOP		1700	4108.3	3.5		0	0		0		85	0.75	0.75	0.5		5	145		14		50		R	D	4.17	0.8		0	35	1.2		0.1		0	0.35	-0.15	0.5		0		0.24	0.77	29000	88			2			0	1	0
SANDKING	2500	7968.7	2.5		0	0.1		-0.3	80	0.7		0.85	0.5		4	170		25		20		4	D	8		0.5		0	30	1.3		0.08	0	0.35	-0.25	0.5		0		0.28	0.25	40000	8			3303		0	1	0
RHINO		25000	250000	5		0	0		-0.5	90	1		0.8		0.5		4	80		40		150		4	D	5		0.5		0	35	1		0.05	0	0.3		-0.15	0.5		0		1.12	0.09	110000	8			3			0	1	0
DINGHY		5000	25520.8	1		0	0		0		20	7		27.11	0.45	5	140.3	0.95	1		R	P	0.09	0.02	0	40	1		3		0	0.1		0.1		0		0		0.2		0.38	25000	8000010		1			0	1	0
MARQUIS		5000	25520.8	1		0	0		0		25	-1.5	20		0.45	5	190		0.7		5		R	P	0.02	0.02	0	25	1		3		0	0.1		0.1		0		0		0.2		0.38	25000	8000010		0			0	1	0
RIO			5000	25520.8	1		0	0		0		26	-1.5	20		0.45	5	190		0.7		5		R	P	0.02	0.02	0	25	1		3		0	0.1		0.1		0		0		0.2		0.38	25000	8000010		0			0	1	0
TROPIC		5000	25520.8	1		0	0		0		17	-1.5	20		0.45	5	190		0.7		5		R	P	0.02	0.02	0	25	1		3		0	0.1		0.1		0		0		0.2		0.38	25000	8000410		0			0	1	0
FORKLIFT	1617.9	4058.4	2.2		0	0		-0.95	75	2		20		0.1		2	17		6.5		1		4	E	9.1		0.6		0	40	3		0.1		0	0.15	-0.12	0.54	1		0.2		0.51	20000	300			10400001	0	1	0
STREETFI	500		195		5		0	0.15	-0.09	103	1.6		0.9		0.48	5	185		50		5		R	P	14		0.5		0	35	0.85	0.15	0	0.15	-0.16	0.5		0		0		0.15	10000	1002000		3			1	1	4
VIRGO		1200	3000	2.5		0	0.1		-0.1	70	0.7		0.9		0.48	5	150		18		20		F	P	4		0.8		0	30	1.4		0.1		0	0.37	-0.12	0.5		0		0.2		0.6		10000	2020		2			1	1	0
STINGER		1400	2800	2		0	-0.2	-0.24	70	0.75	0.86	0.48	5	230		26		5		R	P	8		0.52	0	30	1		0.2		0	0.25	-0.1	0.5		0.3		0.4		0.54	105000	2800		10400002	0	0	19
BFINJECT	1200	2000	4		0	-0.1	-0.3	80	0.75	0.85	0.5		4	170		30		10		R	P	6		0.5		0	35	1		0.07	0	0.2		-0.15	0.45	0		0.38	0.4		15000	2920		604204		1	2	0
PHOENIX		1400	2800	2		0	-0.2	-0.24	70	0.75	0.86	0.48	5	230		26		5		R	P	8		0.52	0	30	1		0.2		0	0.25	-0.1	0.5		0.3		0.4		0.54	105000	2800		10400002	0	0	0
SQUALO		2200	20210.7	1		0	-0.1	0		25	3.5		15		0.55	5	200		2.5		12.3	R	P	0.04	0.01	0	24	1		3		0	0.1		0.5		0		0		0.3		0.39	70000	8000410		3			0	1	0
CUPBOAT		2200	20210.7	1		0	-0.1	0		25	2.5		15		0.9		5	260		2.5		12.3	R	P	0.04	0.01	0	19	1		3		0	0.1		0.5		0		0		0.3		0.39	70000	8000410		3			0	1	0
MESA		1500	3000	2.5		0	0.3		-0.4	80	0.7		0.85	0.5		5	170		25		20		4	P	8		0.5		0	30	2		0.11	0	0.35	-0.25	0.5		0		0.28	0.25	40000	8			3			0	1	0
COASTMAV	5000	29270.8	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.15	0	0.5		-0.1	0.5		0		0.3		0.75	45000	42000000	0			0	1	0
POLMAV		4500	26343.7	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.1		0	0.5		0.1		0.5		0		0.3		0.65	52000	42000000	400000		0	1	0
SPARROW		5000	29270.8	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.15	0	0.5		-0.1	0.5		0		0.3		0.75	45000	42000000	0			0	1	0
SEASPAR		5000	29270.8	0.2		0	0		-0.1	6	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.15	0	0.5		-0.1	0.5		0		0.3		0.75	45000	42000000	80000		0	1	0
SCARAB		2200	20210.7	1		0	-0.1	0		25	3.5		10.41	0.97	5	147.6	2.5		12.3	R	P	0.04	0.01	0	19	1		3		0	0.1		0.5		0		0		0.3		0.39	70000	8000410		3			0	1	0
CHOLLO		1600	4500	2		0	0		-0.12	75	0.94	0.6		0.56	4	130.1	25		15		R	P	10		0.53	0	35	1.2		0.12	0	0.28	-0.12	0.5		0		0.2		0.24	25000	2004		10404003	2	1	1
COMET		1400	3000	2		0	0		-0.2	70	0.75	0.89	0.5		5	200		33		10		R	P	8		0.52	0	34	1.6		0.1		0	0.3		-0.15	0.5		0.3		0.15	0.49	45000	804			3			1	1	19
CUBAN		1600	4500	2		0	0		-0.12	75	0.85	0.85	0.5		5	200		25		10		R	P	10		0.53	0	35	1.2		0.12	0	0.28	-0.12	0.5		0		0.2		0.24	25000	2000		10400002	0	1	0
FBIRANCH	2500	7968.7	2.5		0	0.1		-0.3	80	0.7		0.85	0.5		5	170		25		20		4	P	8		0.5		0	30	1.5		0.08	0	0.35	-0.35	0.5		0		0.28	0.25	40000	8			3303		0	1	0
GANGBUR		2500	7968.7	2.5		0	0.1		-0.3	80	0.7		0.85	0.5		5	170		25		20		4	P	8		0.5		0	30	1.5		0.08	0	0.35	-0.35	0.5		0		0.28	0.25	40000	2008		3			0	1	0
INFERNUS	1400	1725.3	2		0	-0.3	-0.2	70	0.8		0.9		0.5		5	240		30		10		4	P	11		0.51	0	40	1.2		0.19	0	0.25	-0.1	0.5		0.6		0.37	0.72	95000	2004		20404002	1	1	1
REGINA		1200	3000	2.5		0	0.1		-0.1	70	0.7		0.9		0.48	5	150		18		20		F	P	4		0.8		0	30	1.4		0.1		0	0.37	-0.12	0.5		0		0.2		0.6		10000	20			2			1	1	0
SABRE		1600	4500	2		0	0		-0.12	75	0.7		0.8		0.53	5	200		25		10		R	P	10		0.53	0	35	1.2		0.08	0	0.28	-0.22	0.5		0		0.2		0.24	25000	4			10400002	0	1	1
SABRETUR	1600	4500	2		0	0		-0.12	75	0.75	0.8		0.49	5	200		25		10		R	P	10		0.53	0	35	1.2		0.12	0	0.28	-0.2	0.5		0		0.2		0.24	25000	2004		10400002	0	1	1
SENTXS		1600	4000	2.2		0	0		-0.2	75	0.65	0.75	0.48	5	165		24		10		R	P	10		0.5		0	27	1		0.08	0	0.3		-0.2	0.5		0.3		0.2		0.56	35000	2000		400002		0	1	0
HUNTER		10000	150000	0.2		0	0		0		75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	40	1		0.05	0	0.2		-0.15	0.85	0		0.4		0.5		99000	42004200	400000		0	1	0
WASHING		1450	4056.4	2.2		0	0.3		-0.25	75	0.8		0.75	0.45	5	180		19		10		F	P	9.1		0.6		0	35	1.4		0.1		0	0.25	-0.15	0.54	0		0.2		0.51	20000	2000		400002		0	1	0
COASTGRD	2200	28336.2	1		0	0		0		10	6.3		38		0.1		5	190		1.7		5		R	P	3.05	0.01	0	33	1		3		0	0.1		0.1		0		0		0.2		0.33	40000	8000010		0			0	1	0
SEAPLANE	5000	27083	12		0	0		0		9	0.83	45		0.5		1	200		1.7		5		4	P	0.01	0.005	0	24	1.5		0.75	0	0		0.1		0		2		0		1		10000	c000410		0			0	1	0
;CHOPPER	5000	29270.8	0.2		0	0		-0.1	75	0.65	0.9		0.5		1	200		16		5		4	P	5		0.45	0	30	2		0.15	0	0.5		-0.2	0.5		0		0.3		0.75	45000	42000000	400000		0	1	0
;AEROPL		60000	9000000	4		0	0		0		75	1.5		0.9		0.85	1	200		16		5		4	P	1		0.45	0	45	1.5		0.15	0	0.5		-0.2	0.3		0		0.7		0.75	45000	0			0			0	1	0
;
; Bonus Vehicle Handling:
;	A		B		C		D		F	G		H		I	J		K		L		M	N		O		P		Q	R	S		T		U	V	a		b		c	d		e		f		g		aa		ab		ac		af			ag			ah	ai	aj
; Done
TURISMO 	1200	2500	2		0	-0.3	-0.2	70	0.8		0.9		0.5		5	260		40		10		4	P	11		0.55	0	40	1.2		0.19	0	0.25	-0.1	0.5		0.6		0.37	0.52	99000	2004		20404002	1	1	1
SPORTS		1450	4056.4	2.2		0	0.3		-0.25	75	0.8		0.75	0.45	5	180		19		10		F	P	9.1		0.6		0	35	1.4		0.1		0	0.25	-0.15	0.54	0		0.2		0.51	20000	0			400002		0	1	0
DOUBLE 		600		195		5		0	0.15	-0.09	103	1.6		0.9		0.48	5	190		55		5		R	P	15		0.5		0	35	0.85	0.15	0	0.15	-0.16	0.5		0		0		0.15	10000	1002000		3			1	1	4
; Not Done Yet
BEELINE 	1600.0 4500.0 1.4 0.0 0.2 -0.4 70 0.85 0.80 0.48 5 220.0 26.0 5.0 R P 10.0 0.52 0 30.0 1.5 0.10 10.0 0.29 -0.16 0.6 0.4 0.20 0.56 45000 40002004 C00000 1 1 0
COSSIE 1200.0 2000.0 2.2 0.0 0.15 -0.1 70 0.70 0.86 0.5 4 160.0 20.0 5.0 R P 8.0 0.60 0 30.0 1.4 0.12 0.0 0.30 -0.08 0.5 0.0 0.26 0.50 9000 40000000 2 0 0 0
HOTDOG 5500.0 23489.6 3.0 0.0 0.0 0.3 80 0.72 0.70 0.46 5 140.0 14.0 25.0 R D 4.5 0.60 0 30.0 0.6 0.08 0.0 0.30 -0.24 0.4 0.6 0.36 0.40 22000 40000009 201 0 3 13
TURBO 1500.0 3400.0 2.0 0.0 0.0 -0.1 85 0.75 0.8 0.5 5 200.0 26.0 5.0 R P 8.0 0.45 0 30.0 1.0 0.12 3.0 0.25 -0.10 0.5 0.4 0.25 0.50 45000 40002004 00C04000 1 1 1
PACKER 8000.0 48273.3 2.0 0.0 0.0 0.0 90 0.65 0.85 0.35 5 150.0 13.0 5.0 R D 5.7 0.35 0 30.0 1.5 0.04 0.0 0.45 -0.25 0.5 0.0 0.56 0.40 20000 4000 440000 0 1 2
RANCHER 2500.0 7604.2 2.5 0.0 0.0 -0.35 80 0.70 0.85 0.54 5 170.0 20.0 5.0 4 P 7.0 0.45 0 35.0 0.8 0.08 0.0 0.45 -0.25 0.45 0.3 0.44 0.35 40000 4020 100004 0 1 0
MONSTER 5000.0 20000.0 3.0 0.0 0.0 -0.35 80 0.65 0.85 0.55 5 110.0 45.0 25.0 4 P 7.0 0.45 0 35.0 1.5 0.07 0.0 0.45 -0.30 0.5 0.3 0.44 0.35 40000 00002028 1300045 0 1 20
DODO 5000.0 27083.3 12.0 0.0 0.3 0.0 75 0.65 0.9 0.5 1 200.0 16.0 5.0 4 P 1.5 0.45 0 45.0 1.5 0.15 0.0 0.50 -0.05 0.2 0.0 0.50 0.75 45000 4000000 400000 0 1 13
SWEEPER 800.0 632.7 5.0 0.0 0.0 -0.3 80 0.70 0.80 0.46 3 60.0 12.0 30.0 R P 6.1 0.55 0 35.0 1.6 0.15 0.0 0.34 -0.10 0.5 0.0 0.30 0.40 15000 40005a00 1308201 1 2 0
LUTON 3500.0 12000.0 2.5 0.0 0.3 -0.25 80 0.85 0.70 0.46 5 160.0 25.0 30.0 R D 6.0 0.80 0 45.0 1.6 0.07 0.0 0.35 -0.15 0.25 0.0 0.2 0.50 20000 240001 1148200 0 3 13
BUS          5500.0   33187.9   2.0    0.0 0.5 -0.4  90  0.75 0.85 0.40     4 130.0 14.0 50.0 R D     4.17  0.40 0 30.0      1.2  0.07  0.0   0.45 -0.25 0.45 0.0        0.2  0.75 15000     0 3            1  1 16
ROMERO 1200.0    3000.0   2.5    0.0 0.1 -0.1  70  0.70 0.90 0.48     5 150.0 18.0 20.0 F P     4.0   0.80 0 30.0      1.4  0.1   0.0   0.37 -0.12 0.5  0.0        0.2  0.60 10000     20 0           1  1 0
